32 32
    0     0    0.11553
    0     1    0.15032
    0     2    0.18091
    0     3    0.20560
    0     4    0.22478
    0     5    0.23911
    0     6    0.24925
    0     7    0.25584
    0     8    0.25944
    0     9    0.26056
    0    10    0.25962
    0    11    0.25698
    0    12    0.25293
    0    13    0.24773
    0    14    0.24158
    0    15    0.23463
    0    16    0.22700
    0    17    0.21881
    0    18    0.21012
    0    19    0.20099
    0    20    0.19146
    0    21    0.18154
    0    22    0.17124
    0    23    0.16055
    0    24    0.14944
    0    25    0.13785
    0    26    0.12570
    0    27    0.11287
    0    28    0.09921
    0    29    0.08451
    0    30    0.06858
    0    31    0.05207
    1     0    0.15379
    1     1    0.17498
    1     2    0.19784
    1     3    0.21801
    1     4    0.23427
    1     5    0.24654
    1     6    0.25517
    1     7    0.26061
    1     8    0.26333
    1     9    0.26377
    1    10    0.26230
    1    11    0.25925
    1    12    0.25490
    1    13    0.24947
    1    14    0.24315
    1    15    0.23608
    1    16    0.22839
    1    17    0.22016
    1    18    0.21147
    1    19    0.20236
    1    20    0.19289
    1    21    0.18307
    1    22    0.17292
    1    23    0.16242
    1    24    0.15157
    1    25    0.14035
    1    26    0.12873
    1    27    0.11667
    1    28    0.10419
    1    29    0.09144
    1    30    0.07896
    1    31    0.06853
    2     0    0.19369
    2     1    0.20668
    2     2    0.22231
    2     3    0.23704
    2     4    0.24924
    2     5    0.25846
    2     6    0.26474
    2     7    0.26836
    2     8    0.26966
    2     9    0.26899
    2    10    0.26667
    2    11    0.26297
    2    12    0.25813
    2    13    0.25233
    2    14    0.24574
    2    15    0.23848
    2    16    0.23066
    2    17    0.22237
    2    18    0.21367
    2    19    0.20461
    2    20    0.19523
    2    21    0.18557
    2    22    0.17563
    2    23    0.16543
    2    24    0.15498
    2    25    0.14431
    2    26    0.13343
    2    27    0.12241
    2    28    0.11142
    2    29    0.10081
    2    30    0.09132
    2    31    0.08433
    3     0    0.23499
    3     1    0.24268
    3     2    0.25224
    3     3    0.26140
    3     4    0.26892
    3     5    0.27433
    3     6    0.27758
    3     7    0.27879
    3     8    0.27821
    3     9    0.27607
    3    10    0.27261
    3    11    0.26804
    3    12    0.26252
    3    13    0.25623
    3    14    0.24927
    3    15    0.24176
    3    16    0.23378
    3    17    0.22541
    3    18    0.21669
    3    19    0.20769
    3    20    0.19843
    3    21    0.18894
    3    22    0.17927
    3    23    0.16944
    3    24    0.15948
    3    25    0.14945
    3    26    0.13941
    3    27    0.12951
    3    28    0.11997
    3    29    0.11121
    3    30    0.10385
    3    31    0.09881
    4     0    0.27970
    4     1    0.28310
    4     2    0.28701
    4     3    0.29037
    4     4    0.29265
    4     5    0.29362
    4     6    0.29324
    4     7    0.29156
    4     8    0.28869
    4     9    0.28477
    4    10    0.27993
    4    11    0.27429
    4    12    0.26797
    4    13    0.26108
